ID_Alumno,Memoria,Matematicas,Gramatica,Ingles,Geografia,Arte,Ciencia,Logica,Puntuacion_Promedio,Rango
ALU0001,23,29,48,16,52,51,36,42,37.12,1
ALU0002,79,84,90,79,97,100,98,100,90.88,5
ALU0003,74,55,78,37,65,58,67,71,63.12,3
ALU0004,47,45,46,57,72,48,65,65,55.62,2
ALU0005,30,25,20,29,23,13,17,12,21.12,1
ALU0006,18,21,10,0,17,9,10,0,10.62,1
ALU0007,11,17,0,10,0,27,5,22,11.5,1
ALU0008,80,86,72,68,85,60,80,69,75.0,4
ALU0009,66,69,52,71,77,67,66,69,67.12,3
ALU0010,76,81,83,27,41,89,66,83,68.25,3
ALU0011,10,0,0,19,0,0,0,0,3.62,1
ALU0012,97,79,77,59,99,100,100,100,88.88,4
ALU0013,77,76,81,76,82,97,83,83,81.88,4
ALU0014,29,23,24,11,30,18,40,10,23.12,1
ALU0015,17,11,15,14,16,33,8,0,14.25,1
ALU0016,21,35,19,0,0,9,18,20,15.25,1
ALU0017,29,62,44,62,24,15,34,29,37.38,1
ALU0018,47,55,60,29,67,45,60,67,53.75,2
ALU0019,36,45,50,22,39,64,21,44,40.12,2
ALU0020,35,43,17,63,26,24,8,15,28.88,1
ALU0021,73,32,94,65,33,60,52,38,55.88,2
ALU0022,29,17,30,0,0,2,24,19,15.12,1
ALU0023,18,45,37,28,42,44,23,31,33.5,1
ALU0024,50,28,24,33,35,50,36,56,39.0,1
ALU0025,42,27,57,15,55,35,46,39,39.5,1
ALU0026,81,72,69,62,68,40,65,81,67.25,3
ALU0027,13,22,20,22,8,17,40,21,20.38,1
ALU0028,52,37,31,74,48,57,41,13,44.12,2
ALU0029,61,89,43,54,52,58,33,68,57.25,2
ALU0030,0,2,14,7,0,10,0,3,4.5,1
ALU0031,65,42,71,45,51,64,49,68,56.88,2
ALU0032,33,18,28,40,18,12,22,22,24.12,1
ALU0033,9,24,18,27,5,0,13,0,12.0,1
ALU0034,100,90,89,100,81,100,97,87,93.0,5
ALU0035,90,99,87,93,100,78,100,91,92.25,5
ALU0036,86,64,81,48,82,59,78,80,72.25,3
ALU0037,10,54,42,51,34,39,42,39,38.88,1
ALU0038,37,22,13,14,13,0,8,14,15.12,1
ALU0039,81,82,81,61,73,54,70,91,74.12,3
ALU0040,41,50,42,52,49,68,40,56,49.75,2
ALU0041,0,28,4,20,5,39,14,29,17.38,1
ALU0042,52,36,49,30,34,67,51,61,47.5,2
ALU0043,0,0,9,2,0,19,19,9,7.25,1
ALU0044,91,100,85,52,100,100,86,97,88.88,4
ALU0045,32,51,43,29,23,57,27,45,38.38,1
